GC,2021-12-14,Gavin,Coady,35 cabot dr,st johns,NL,A0A0A0,9999999999,3,Y,Y,Y,M,822.0,3443.68
1945-GC,2021-12-14,Gavin,Coady,35 Cabot Dr,st johns,NL,A0A1C0,7097699906,3,Y,Y,Y,F,3443.68
1945-GC,2021-12-14,Gavin,Coady,35 Cabot Dr,St johns,NL,A0A1C0,7699907787,3,Y,Y,Y,F,3443.68
1945-GC,2021-12-14,Gavin,Coady,35 Cabot Dr,St johns,NL,A0A1C0,7097699906,3,Y,Y,Y,F,3443.68
1945-GC,2021-12-14,Gavin,Coady,35 Cabot Drive,St Johns,NL,A0A1C0,7097699906,3,Y,Y,Y,F,3443.68
1945-GC,2021-12-14,Gavin,Coady,35 Cabot Dr,ST JOHNS,NL,A0A1C0,7097699906,3,Y,Y,Y,M,3443.68
1945-GC,2021-12-14,Gavin,Coady,35 Cabot Dr,St. Johns,NL,A0A1C0,7097699906,3,Y,Y,Y,F,3443.68
1945-GC,2021-12-14,Gavin,Coady,35 Cabot Dr,St johns,NL,A0A1C0,7097699906,3,Y,Y,Y,F,3443.68
1945-GC,2021-12-14,Gavin,Coady,35 Cabot Drive,St Johns,NL,A0A1C0,7097699906,3,Y,Y,Y,F,3443.68
1945-GC,2021-12-15,Gavin,Coady,35 Cabot Dr,ST JOHNS,NL,A0A1C0,7097699906,3,Y,Y,Y,M,3443.68
1945-GC,2021-12-15,Gavin,Coady,35 Cabot Dr,St Johns,NL,A0A1C0,7097699906,3,Y,Y,Y,M,3443.68
1944,2021-12-15,Gavin,Coady,35 Cabot Dr,St Johns,NL,A0A1C0,7097699906,3,Y,Y,Y,M,3443.68
1944,2021-12-15,Gavin,Coady,35 Cabot Dr,St Johns,NL,A0A1C0,7097699906,4,Y,Y,Y,M,4508.29
1945-GC,2021-12-15,Gavin,Coady,35 Cabot Dr,St Johns,NL,A0A0A0,8888888888,3,Y,Y,Y,M,3443.68
1945-GC,2021-12-15,Gavin,Coady,35 Cabot Dr,St Johns,NL,A0A1C0,7097699906,3,Y,Y,Y,M,3443.68
